Year_month;State;State_clearance;Homicide_count;Homicide_Clearence;month;year
12-1990;Alabama;Alabama Clearances;242;18;12;1990
12-1991;Alabama;Alabama Clearances;258;186;12;1991
12-1992;Alabama;Alabama Clearances;244;184;12;1992
12-1993;Alabama;Alabama Clearances;269;0;12;1993
12-1994;Alabama;Alabama Clearances;275;0;12;1994
12-1995;Alabama;Alabama Clearances;262;127;12;1995
12-1996;Alabama;Alabama Clearances;257;102;12;1996
12-1997;Alabama;Alabama Clearances;312;150;12;1997
12-1998;Alabama;Alabama Clearances;232;110;12;1998
12-1999;Alabama;Alabama Clearances;334;148;12;1999
12-2000;Alabama;Alabama Clearances;205;70;12;2000
12-2001;Alabama;Alabama Clearances;253;110;12;2001
12-2002;Alabama;Alabama Clearances;206;147;12;2002
12-2003;Alabama;Alabama Clearances;215;135;12;2003
12-2004;Alabama;Alabama Clearances;190;133;12;2004
12-2005;Alabama;Alabama Clearances;230;116;12;2005
12-2006;Alabama;Alabama Clearances;218;138;12;2006
12-2007;Alabama;Alabama Clearances;259;184;12;2007
12-2008;Alabama;Alabama Clearances;246;242;12;2008
12-2009;Alabama;Alabama Clearances;235;168;12;2009
12-2010;Alabama;Alabama Clearances;166;135;12;2010
